iter	Passed	Remaining
0	0	591
1	1	564
2	1	585
3	2	585
4	2	549
5	3	527
6	3	517
7	4	507
8	4	521
9	5	523
10	5	513
11	6	521
12	6	528
13	7	535
14	8	542
15	8	549
16	9	555
17	10	560
18	10	559
19	11	564
20	12	562
21	12	561
22	13	562
23	13	561
24	14	562
25	15	564
26	15	562
27	16	563
28	16	558
29	17	554
30	17	551
31	18	546
32	18	543
33	19	540
34	19	538
35	19	535
36	20	532
37	20	529
38	21	526
39	21	523
40	22	519
41	22	518
42	23	517
43	23	515
44	24	512
45	24	509
46	25	507
47	25	504
48	25	502
49	26	500
50	26	497
51	27	495
52	27	496
53	28	493
54	28	490
55	29	490
56	29	492
57	30	493
58	31	494
59	31	493
60	32	494
61	32	496
62	33	496
63	33	496
64	34	497
65	35	498
66	35	499
67	36	500
68	37	500
69	37	501
70	38	501
71	38	502
72	39	502
73	40	502
74	40	502
75	41	501
76	41	502
77	42	501
78	43	501
79	43	502
80	44	501
81	44	502
82	45	502
83	46	503
84	46	503
85	47	503
86	47	503
87	48	504
88	49	504
89	49	504
90	50	504
91	51	504
92	51	503
93	52	501
94	52	499
95	52	497
96	53	495
97	53	494
98	54	494
99	54	494
100	55	494
101	56	494
102	56	494
103	57	494
104	58	494
105	58	494
106	59	494
107	60	495
108	60	495
109	61	495
110	61	494
111	62	493
112	62	491
113	63	490
114	63	488
115	64	487
116	64	486
117	64	484
118	65	483
119	65	482
120	66	481
121	66	479
122	67	478
123	67	477
124	68	476
125	68	475
126	69	474
127	69	473
128	69	472
129	70	471
130	70	470
131	71	468
132	71	467
133	72	466
134	72	465
135	73	465
136	73	465
137	74	465
138	75	466
139	75	466
140	76	466
141	77	466
142	77	466
143	78	466
144	79	466
145	79	466
146	80	465
147	80	465
148	81	465
149	82	465
150	82	465
151	83	465
152	84	465
153	84	465
154	85	465
155	86	465
156	86	465
157	87	465
158	87	464
159	88	464
160	89	465
161	89	465
162	90	464
163	91	468
164	92	467
165	93	467
166	93	467
167	94	467
168	95	467
169	95	467
170	96	466
171	96	466
172	97	466
173	98	466
174	98	465
175	99	465
176	100	465
177	100	464
178	101	464
179	102	464
180	102	464
181	103	464
182	103	463
183	104	463
184	105	463
185	105	463
186	106	462
187	107	462
188	107	461
189	108	460
190	108	460
191	109	460
192	110	460
193	110	459
194	111	459
195	112	459
196	112	459
197	113	459
198	113	458
199	114	458
200	115	457
201	115	457
202	116	457
203	117	456
204	117	456
205	118	456
206	118	455
207	119	455
208	120	455
209	120	454
210	121	454
211	122	453
212	122	453
213	123	453
214	123	452
215	124	452
216	125	451
217	125	451
218	126	451
219	127	450
220	127	450
221	128	450
222	129	449
223	129	449
224	130	449
225	131	448
226	131	448
227	132	447
228	132	447
229	133	446
230	134	446
231	134	446
232	135	445
233	136	445
234	136	445
235	137	444
236	138	444
237	138	443
238	139	442
239	139	442
240	140	441
241	140	441
242	141	441
243	142	440
244	142	440
245	143	440
246	144	439
247	144	439
248	145	438
249	146	438
250	146	437
251	147	437
252	147	436
253	148	436
254	149	436
255	149	435
256	150	435
257	151	435
258	151	434
259	152	434
260	153	433
261	153	433
262	154	432
263	154	431
264	155	431
265	156	430
266	156	430
267	157	429
268	157	429
269	158	428
270	159	428
271	159	428
272	160	427
273	161	427
274	161	426
275	162	426
276	163	425
277	163	425
278	164	424
279	165	424
280	165	423
281	166	423
282	166	422
283	167	422
284	168	421
285	168	421
286	169	420
287	169	420
288	170	419
289	171	419
290	171	418
291	172	418
292	173	417
293	173	417
294	174	416
295	175	416
296	175	415
297	176	415
298	176	414
299	177	414
300	178	413
301	178	412
302	178	411
303	179	410
304	179	409
305	180	408
306	180	408
307	181	407
308	181	406
309	182	405
310	182	404
311	183	403
312	183	402
313	183	401
314	184	401
315	184	400
316	185	399
317	185	398
318	186	397
319	186	396
320	187	395
321	187	395
322	188	394
323	188	393
324	189	393
325	189	392
326	190	391
327	190	391
328	191	390
329	192	389
330	192	389
331	193	388
332	193	388
333	195	388
334	195	388
335	196	388
336	196	387
337	197	386
338	198	386
339	198	385
340	199	384
341	199	383
342	200	383
343	200	382
344	201	382
345	202	382
346	202	381
347	203	380
348	203	380
349	204	379
350	204	378
351	205	377
352	205	377
353	206	376
354	207	376
355	207	375
356	208	375
357	209	374
358	209	374
359	210	373
360	210	372
361	210	371
362	211	371
363	212	370
364	212	369
365	213	369
366	213	368
367	214	368
368	214	367
369	215	366
370	216	366
371	216	365
372	217	364
373	217	364
374	218	364
375	219	363
376	219	362
377	220	362
378	220	361
379	221	361
380	222	360
381	222	360
382	223	360
383	224	359
384	224	358
385	225	358
386	226	357
387	226	357
388	227	356
389	227	356
390	228	356
391	229	355
392	229	355
393	231	355
394	231	355
395	232	354
396	245	373
397	246	373
398	247	372
399	247	371
400	248	371
401	249	371
402	250	371
403	251	370
404	251	370
405	252	369
406	253	368
407	253	368
408	254	367
409	255	367
410	255	366
411	256	365
412	256	365
413	257	364
414	258	364
415	258	363
416	259	362
417	260	362
418	260	361
419	261	360
420	262	360
421	262	359
422	263	359
423	263	358
424	264	357
425	265	357
426	265	356
427	266	356
428	267	355
429	267	354
430	268	354
431	268	353
432	269	352
433	270	352
434	270	351
435	271	351
436	272	350
437	272	349
438	273	349
439	273	348
440	274	348
441	275	347
442	275	346
443	276	346
444	277	345
445	277	345
446	278	344
447	279	343
448	279	343
449	280	342
450	280	342
451	281	341
452	282	340
453	282	340
454	283	339
455	284	338
456	284	338
457	285	337
458	285	337
459	286	336
460	287	335
461	287	335
462	288	334
463	289	333
464	289	333
465	290	332
466	290	332
467	291	331
468	292	330
469	292	330
470	293	329
471	294	328
472	294	328
473	295	327
474	295	327
475	296	326
476	297	325
477	297	325
478	298	324
479	299	323
480	299	323
481	300	322
482	300	322
483	311	331
484	311	331
485	312	330
486	312	329
487	313	328
488	313	327
489	313	326
490	314	325
491	314	325
492	315	324
493	315	323
494	316	322
495	316	321
496	317	320
497	317	320
498	318	319
499	318	318
500	318	317
501	319	316
502	319	316
503	320	315
504	320	314
505	321	313
506	321	312
507	322	312
508	322	311
509	323	310
510	323	309
511	324	308
512	324	308
513	325	307
514	325	306
515	325	305
516	326	305
517	326	304
518	327	303
519	327	302
520	328	301
521	328	301
522	329	300
523	329	299
524	330	298
525	330	298
526	331	297
527	331	296
528	332	295
529	332	295
530	333	294
531	333	293
532	334	292
533	334	291
534	335	291
535	335	290
536	335	289
537	336	288
538	336	288
539	337	287
540	337	286
541	338	285
542	338	285
543	339	284
544	339	283
545	340	282
546	340	282
547	341	281
548	341	280
549	341	279
550	342	278
551	342	278
552	343	277
553	343	276
554	346	277
555	347	277
556	348	277
557	348	276
558	349	275
559	349	274
560	350	274
561	350	273
562	351	272
563	351	271
564	352	271
565	352	270
566	353	269
567	353	269
568	354	268
569	354	267
570	355	267
571	356	266
572	356	265
573	357	265
574	358	264
575	358	264
576	359	263
577	359	262
578	360	262
579	361	261
580	361	260
581	362	260
582	362	259
583	363	258
584	364	258
585	364	257
586	365	257
587	366	256
588	366	255
589	367	255
590	367	254
591	368	254
592	369	253
593	369	252
594	370	252
595	371	251
596	371	250
597	372	250
598	372	249
599	373	249
600	374	248
601	374	247
602	375	247
603	375	246
604	376	245
605	377	245
606	377	244
607	378	243
608	379	243
609	379	242
610	380	242
611	380	241
612	381	240
613	382	240
614	382	239
615	383	238
616	394	244
617	394	243
618	395	243
619	395	242
620	396	242
621	397	241
622	397	240
623	398	240
624	399	239
625	399	238
626	400	238
627	400	237
628	401	236
629	402	236
630	402	235
631	403	234
632	403	234
633	404	233
634	405	232
635	405	232
636	406	231
637	406	230
638	407	230
639	408	229
640	408	228
641	409	228
642	409	227
643	410	226
644	411	226
645	412	226
646	413	225
647	414	225
648	414	224
649	415	223
650	416	223
651	417	222
652	417	222
653	418	221
654	418	220
655	419	219
656	419	219
657	420	218
658	420	217
659	421	217
660	421	216
661	422	215
662	422	214
663	423	214
664	423	213
665	424	212
666	424	211
667	424	211
668	425	210
669	425	209
670	426	209
671	427	208
672	427	207
673	428	207
674	428	206
675	429	205
676	429	204
677	430	204
678	430	203
679	430	202
680	431	202
681	431	201
682	432	200
683	432	199
684	433	199
685	433	198
686	434	197
687	434	197
688	434	196
689	435	195
690	435	194
691	436	194
692	436	193
693	437	192
694	437	192
695	438	191
696	438	190
697	439	190
698	439	189
699	440	188
700	440	188
701	441	187
702	442	186
703	442	186
704	443	185
705	444	184
706	444	184
707	445	183
708	445	183
709	446	182
710	447	181
711	447	181
712	448	180
713	448	179
714	449	179
715	450	178
716	450	177
717	451	177
718	452	176
719	452	176
720	453	175
721	454	174
722	454	174
723	455	173
724	455	172
725	456	172
726	457	171
727	457	171
728	458	170
729	459	169
730	459	169
731	460	168
732	460	167
733	461	167
734	462	166
735	462	166
736	463	165
737	464	164
738	464	164
739	465	163
740	465	162
741	466	162
742	467	161
743	467	160
744	468	160
745	469	159
746	469	159
747	470	158
748	471	157
749	471	157
750	472	156
751	472	155
752	473	155
753	474	154
754	474	154
755	475	153
756	476	152
757	476	152
758	477	151
759	478	150
760	478	150
761	479	149
762	479	149
763	480	148
764	481	147
765	481	147
766	482	146
767	482	145
768	483	145
769	484	144
770	484	144
771	485	143
772	486	142
773	486	142
774	487	141
775	487	140
776	488	140
777	489	139
778	489	138
779	490	138
780	491	137
781	491	137
782	492	136
783	492	135
784	493	135
785	494	134
786	494	133
787	495	133
788	496	132
789	496	132
790	497	131
791	498	130
792	498	130
793	499	129
794	499	128
795	500	128
796	501	127
797	501	127
798	502	126
799	503	125
800	503	125
801	504	124
802	504	123
803	505	123
804	506	122
805	506	121
806	507	121
807	508	120
808	511	120
809	511	120
810	512	119
811	513	118
812	513	118
813	514	117
814	514	116
815	515	116
816	516	115
817	516	114
818	517	114
819	517	113
820	518	113
821	518	112
822	519	111
823	520	111
824	520	110
825	521	109
826	521	109
827	522	108
828	522	107
829	523	107
830	524	106
831	524	105
832	525	105
833	526	104
834	526	104
835	527	103
836	527	102
837	528	102
838	528	101
839	529	100
840	529	100
841	530	99
842	531	98
843	531	98
844	532	97
845	533	97
846	533	96
847	534	95
848	534	95
849	535	94
850	536	93
851	536	93
852	537	92
853	538	91
854	538	91
855	539	90
856	549	91
857	550	91
858	551	90
859	551	89
860	552	89
861	552	88
862	553	87
863	554	87
864	554	86
865	555	85
866	555	85
867	556	84
868	557	83
869	557	83
870	558	82
871	558	82
872	559	81
873	560	80
874	560	80
875	561	79
876	562	78
877	562	78
878	563	77
879	563	76
880	564	76
881	565	75
882	565	74
883	566	74
884	567	73
885	567	73
886	568	72
887	568	71
888	569	71
889	569	70
890	569	69
891	570	69
892	570	68
893	571	67
894	571	67
895	572	66
896	572	65
897	573	65
898	573	64
899	574	63
900	574	63
901	574	62
902	575	61
903	575	61
904	576	60
905	576	59
906	577	59
907	577	58
908	578	57
909	578	57
910	580	56
911	580	56
912	580	55
913	581	54
914	581	54
915	582	53
916	582	52
917	583	52
918	583	51
919	584	50
920	584	50
921	585	49
922	585	48
923	586	48
924	586	47
925	586	46
926	587	46
927	587	45
928	588	44
929	588	44
930	589	43
931	589	43
932	590	42
933	590	41
934	591	41
935	591	40
936	592	39
937	592	39
938	593	38
939	593	37
940	594	37
941	594	36
942	595	35
943	595	35
944	595	34
945	596	34
946	596	33
947	597	32
948	597	32
949	598	31
950	598	30
951	598	30
952	599	29
953	599	28
954	600	28
955	600	27
956	601	27
957	601	26
958	602	25
959	602	25
960	603	24
961	604	23
962	604	23
963	605	22
964	605	21
965	606	21
966	607	20
967	607	20
968	608	19
969	608	18
970	609	18
971	610	17
972	610	16
973	611	16
974	611	15
975	612	15
976	613	14
977	613	13
978	614	13
979	615	12
980	615	11
981	616	11
982	617	10
983	617	10
984	618	9
985	618	8
986	619	8
987	620	7
988	620	6
989	621	6
990	622	5
991	622	5
992	623	4
993	623	3
994	624	3
995	625	2
996	625	1
997	626	1
998	627	0
999	627	0
